CITY,LOCATION,average,std,median,amin,amax
FAIRFIELD,CORDELIA,17.258127501053302,5.9988261278949295,17.923301450661604,8.965013366986035,27.23710951413187
FAIRFIELD,FAIRFIELD,16.64307426396777,8.184358301099975,14.008419083255381,7.227318851084098,27.06198388220077
FAIRFIELD,FAIRFIELD 1,14.981067747310805,3.465485917082258,13.539981614068694,10.55644177535892,22.05224576007952
FAIRFIELD,FAIRFIELD 10,11.35463977665736,,11.35463977665736,11.35463977665736,11.35463977665736
FAIRFIELD,FAIRFIELD 2,11.879502793355645,5.169386151433479,10.268084957841495,7.594110579647722,19.387730678091863
FAIRFIELD,FAIRFIELD 3,19.272948135353264,5.721666644614164,18.339571397960164,13.406430298532474,32.63691121248015
FAIRFIELD,FAIRFIELD 4,13.573213633679364,0.7620367149306126,13.573213633679364,13.034372305038808,14.11205496231992
FAIRFIELD,FAIRFIELD 5,10.679543187197334,1.4890503239639343,10.146056015667398,9.530725242806572,12.361848303118036
FAIRFIELD,FAIRFIELD 6,8.655567692332495,0.7166673261412688,8.717315198855957,7.492434519461549,9.685986529407788
FAIRFIELD,FAIRFIELD 7,8.248867134375804,0.6369228170861264,8.1227785299326,7.637785653183429,9.11212582445459
FAIRFIELD,FAIRFIELD 8,7.2458955977659265,2.404150749852031,7.8432279857479985,4.599392880139821,9.295065927409961
FAIRFIELD,GREEN VALLEY 1,17.673475910978972,12.575687980425746,11.597942177536089,10.966355222178356,36.53166406666536
FAIRFIELD,GREEN VALLEY 2,21.36710932027577,6.490132012793552,21.55147024985008,14.931490806886053,27.434005974516854
FAIRFIELD,SUISUN 10,11.309377474061419,0.052666918262051304,11.309377474061419,11.272136339014125,11.346618609108713
